Workbook_ID,Template_Path,Expected_SHA256,Variant,Variant_SHA256,Matches_Expected,Byte_Length
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,current-repository-bytes,6f1097bce566f4e87cb20cdc348c98b3c23d7f82ee0d53984af5412d5a671820,False,9005
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-lf-no-bom-no-final-newline,1cc7d0af5bfd6c3ae6c186c8ff981653450197f47bbcacea29c1edc9a13c6103,False,9004
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-lf-no-bom-one-final-newline,6f1097bce566f4e87cb20cdc348c98b3c23d7f82ee0d53984af5412d5a671820,False,9005
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-crlf-no-bom-no-final-newline,c7f5988e3313d08132feb1c397e3cfedae6dbf7dc2885399c1790759cf5e491d,False,9168
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-crlf-no-bom-one-final-newline,ee2c4c6e493e253001210cb2db990a1a83337d384fa17bc46992a66ae706d9fb,False,9170
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-lf-bom-no-final-newline,b299b2eca8386aa2f9fea8aadb37963fe6cb0810a38137200e3156c5ae56ff1d,False,9007
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-lf-bom-one-final-newline,1cc73661cf7e89f9b773660bcbe9ad35b6657dd2b06118e4832dc47bddcdb90a,False,9008
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-crlf-bom-no-final-newline,64b806649ebf58b0fa9c7c02f49f1f82f71dbb6fcffc19ab9817f5b0d4b2a4ef,False,9171
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf8-crlf-bom-one-final-newline,e3d172aee9f9ffbcb730721800d565d3294d2ba3e3378607a2ca9476d64da464,False,9173
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,232ca9473c36610559bf35753ed5a64728b0c4406ee9f79e73db3f255d9c202f,utf16le-lf-bom-no-final-newline,c79680d5b990d9201890cc76916087dd5ac322de385d51ee57b4c59eaeb3da9a,False,17974
