"Source_Path","Archive_Path","File_Count","Total_Bytes","Tree_SHA256"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-METRICS-R001","20","1314248","125cea6e5b74541faedc5e7d1fefd1aa18870727706e34a40e9de289bdd6d456"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-02/UL-02-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-02/UL-02-METRICS-R001","20","1317144","5617fce2f23e3a93aac725f6d268efff4c862a050937809a3bb56272b71a8482"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-03/UL-03-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-03/UL-03-METRICS-R001","20","1313362","9c43dfa4bb9c46c8b48152efdcfa02c1aa1c106fb195078c4f26ea8db01c2672"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-04/UL-04-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-04/UL-04-METRICS-R001","20","1510309","aca5f14b6d5742e07a49445e4f83fe56ec022daa6ea81132a2d97da4830d220c"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-05/UL-05-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-05/UL-05-METRICS-R001","20","1508240","bc7916ded22eb0d8b90c5b24c0c82c8c32147353d3f527002e40263d372bd025"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-06/UL-06-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-06/UL-06-METRICS-R001","20","1342537","a58ae8626e25521bccebb968a6b998d80913f598d6b81abc556c357e362a1e8f"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-07/UL-07-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-07/UL-07-METRICS-R001","20","1535391","27e777e9023fe5cfa4829dc5528de7134184294124ec6708ba3b2b0c7e871002"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-08/UL-08-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-08/UL-08-METRICS-R001","20","1528634","27bb056007216816cbf4529fe7041e40b7f5c00960fcb0bf015dc7ee474dcca3"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-09/UL-09-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-09/UL-09-METRICS-R001","20","1319621","32c0f4cf008a0e3e43a8beeeb3fddf586e48a08a1cd8d11a48c5aceece4ab80c"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-10/UL-10-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-10/UL-10-METRICS-R001","20","1326526","8ead691edb43344488397f2415860a11f144d097664afc3c7fab141aa784cc06"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-11/UL-11-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-11/UL-11-METRICS-R001","20","1332304","0f9ace1046b243ad009c60ba627c8f2dd4a7bb17137ff2e4ce81aa58c7320558"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-12/UL-12-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-12/UL-12-METRICS-R001","20","1346541","35cec449128b008f7cf660d522386b7a9f4fce3ca7bf3a37a6e568a1055facf8"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-13/UL-13-METRICS-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-13/UL-13-METRICS-R001","20","1364008","e1556916c7c06fda7c2a81a8decf0b7b3a3242ed78e85c8a6a6d49d4e43205c9"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-METRICS-CALIBRATION-R003","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-METRICS-CALIBRATION-R003","5","5829","ee936c45632c7ab4007f295531a1ca4ca49efd36394a35d0361c93e4342a67cf"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-METRICS-CALIBRATION-R004","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-METRICS-CALIBRATION-R004","5","328843","a246b7499c8b0c5f5015a1a5841834b95e52418bdc550ffa6e8da7142fac0dd0"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-METRICS-CALIBRATION-R005","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-METRICS-CALIBRATION-R005","5","328525","4e47725aae3a38db0ea19ffa7480f060d8d0a85746925638fc77d3e5a5a20c21"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-METRICS-CALIBRATION-R006","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-METRICS-CALIBRATION-R006","5","328579","2c2867402a3bd82b8a9d2838b0548543540cbdaec06aab4fd1efe184d88501c7"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-TTFT-CALIBRATION-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-TTFT-CALIBRATION-R001","4","292266","e7df0e34322b0287f3009926249408da6bb07aff81eb5464cacc1af0f5824121"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-R001","2","40","f96ac8aaf5e475e6209a9e8208fe6fee08d0fdbdbcfa450b0f9b74977257d1cf"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-01/UL-01-R002","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-01/UL-01-R002","2","2006","a734e67409e02fdc189fc502db3c8eb98a7c1e929358e7bd02b54e3a469a1e91"
"experiments/granite_turboquant_intel/logs/upstream-llama-cpp/UL-13/UL-13-QUALITY-R001","experiments/granite_turboquant_intel/logs/upstream-llama-cpp/archive/calibration-and-superseded/UL-13/UL-13-QUALITY-R001","3","3169","e823a07134a160a57a063955ed4927413092871f5dacb346bb34db274b9afa1d"
