route,test_case_id,attempt_id,terminal_status,evidence_ids,retained_path,size_bytes,sha256
openvino-experimental-fork,granite-30b__fp16__f16,granite-30b__fp16__f16--attempt-001,artifact_unavailable,"[""openvino-experimental-fork-2f5739098066""]",experiments/raw-results/retained/openvino-experimental-fork/2026-08-30/fv6/experimental-openvino-detailed-results.csv,34030,2f57390980664a79cdcc2272152fd316cd315360afd5ab3b715bba9fd70ebc9f
openvino-experimental-fork,granite-30b__fp16__f16,granite-30b__fp16__f16--attempt-001,artifact_unavailable,"[""openvino-experimental-fork-ca3f4af15b71""]",experiments/raw-results/retained/openvino-experimental-fork/2026-08-30/fv6/rows.json,53536,ca3f4af15b71c47fa9f702c09502a8ad31ab0ee0b1a0aedfc39a5716b72f1b02
,granite-30b__fp16__f16,granite-30b__fp16__f16--attempt-001,blocked,"[""openvino-official-upstream-d7be395e7e5f""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/attempts/granite-30b__fp16/manifest.json,4932,d7be395e7e5f04673954f691e26e6249679cba7b041ccafb7d195a66bab48d37
,granite-30b__fp16__f16,granite-30b__fp16__f16--attempt-001,blocked,"[""openvino-official-upstream-ecd7ea7c9e71""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/consolidated/official-openvino-detailed-results.csv,25870,ecd7ea7c9e71d235d39c4bd29c00b52a7bc4ccdb2b151b7cfe9b6ba4e84c9116
,granite-30b__fp16__f16,granite-30b__fp16__f16--attempt-001,blocked,"[""openvino-official-upstream-742a17ebaf17""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/consolidated/rows.json,39293,742a17ebaf1758b17a2ba52acf58e729f60236ccd4c32a169084c38e66fc00fd
,granite-30b__int4__f16,granite-30b__int4__f16--attempt-001,blocked,"[""openvino-official-upstream-d60b4f445021""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/attempts/granite-30b__int4/manifest.json,4932,d60b4f445021ac02661a456b14fb3cc80ab72311ed2a013ee867cab3b4d44ef5
,granite-30b__int8__f16,granite-30b__int8__f16--attempt-001,blocked,"[""openvino-official-upstream-7625c690f16e""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/attempts/granite-30b__int8/manifest.json,4932,7625c690f16efe62dfc724be89a8fcca335b00f7e6c7b69aa842d2ab9f4dab92
,granite-8b__fp16__f16,granite-8b__fp16__f16--attempt-001,blocked,"[""openvino-official-upstream-de53b9b4c999""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/attempts/granite-8b__fp16/manifest.json,3400,de53b9b4c999c4005828dbb02eb6e7b9e7cc6ddab2cb266ec97cc01f5615752e
,granite-8b__int8__f16,granite-8b__int8__f16--attempt-001,blocked,"[""openvino-official-upstream-965fa680455e""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/attempts/granite-8b__int8/manifest.json,3400,965fa680455e52bc65f18bca36eaf4ce8c56b03c3a32e80cc7ed70bb30cdbb1c
animehacker-tq3-0,AH-06,AH-06--terminal,blocked,"[""animehacker-57d0c768549edab36e5f""]",experiments/raw-results/retained/animehacker-tq3-0/2026-07-18/runtime/AH-06/pilot-emergency-stop-2048/measurement.json,1125,c8cdd49e6fb58b78d7eddc0662d03209776f731d32b40c4616f4ecbb0a13f148
animehacker-tq3-0,AH-07,AH-07--terminal,blocked,"[""animehacker-cd9e81def3ebb64f18ec""]",experiments/raw-results/retained/animehacker-tq3-0/2026-07-18/runtime/AH-07/pilot/measurement.json,1124,982c400d1595c085f740489a35270baea9f101d4618273305f4d458175a22358
animehacker-tq3-0,AH-10,AH-10--terminal,blocked,"[""animehacker-993c82e73a1b79e1b4ee""]",experiments/raw-results/retained/animehacker-tq3-0/2026-07-18/runtime-recovery/AH-10/pilot/measurement.json,1117,97c05b25918a3f369889353165cead9cf057c96e0233034b93bc779fc3736f5c
,granite-3b__fp16__f16,granite-3b__fp16__f16--attempt-001,failed,"[""openvino-official-upstream-36d151562886""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/guarded-retry-002/attempts/granite-3b__fp16/conversion.log,116,36d15156288619f17c972b5f0af9bc5380fe363cab90a8356feac4e5ca579d65
,granite-3b__fp16__f16,granite-3b__fp16__f16--attempt-001,failed,"[""openvino-official-upstream-88b149e9b8eb""]",experiments/raw-results/retained/openvino-official-upstream/2026-08-30/fv2-missing-model-attempts/guarded-retry-002/attempts/granite-3b__fp16/manifest.json,4722,88b149e9b8ebb32b1dc304644a3d47ad1dd9898cecb3a657c5f2a8f6eb86c99d
animehacker-tq3-0,AH-09,AH-09--rejected-flash-env-only,failed,"[""animehacker-161b128b90a01ee0e4d5""]",experiments/raw-results/retained/animehacker-tq3-0/2026-07-18/runtime/AH-09-rejected-flash-env-only/summary.json,7529,65f7f2c93acdca1564e3e5e2831fed942087ac382f34ebaf02f234dd2d76b9f3
